layer,V,a_proxy,mean_indeg,mean_outdeg,mean_normPhi,meanK_0_t,Z_like
0,10,1.0,0.0,6.0,1.0,1.0,0.0
1,20,1.2599210498948732,3.0,6.0,1.1926860441876563,0.6500000000000001,0.430782916092454
2,40,1.5874010519681994,3.0,6.0,1.2653087567862638,0.42249999999999976,0.8615658321849091
3,80,2.0,3.0,6.0,1.2947683733490716,0.2746250000000003,1.2923487482773617
4,160,2.5198420997897464,3.0,6.0,1.307015540043064,0.17850625000000064,1.7231316643698134
5,320,3.1748021039363987,3.0,6.0,1.3121556177750762,0.1160290625000002,2.1539145804622697
6,640,3.9999999999999996,3.0,6.0,1.3143212599367773,0.07541889062500039,2.5846974965547203
7,1280,5.039684199579492,3.0,3.3,1.3152351721844118,0.04902227890625,3.0154804126471797
8,1408,5.202365787405547,3.0,3.3004261363636362,1.3156211093315506,0.0318644812890625,3.446263328739634
9,1549,5.370529905273794,3.0,3.3001936733376374,1.3157841337591,0.020711912837890034,3.877046244832117
10,1704,5.543999683497501,3.0,3.2992957746478875,1.3158530055103221,0.01346274334462903,4.307829160924533
11,1874,5.722553508048769,3.0,3.299359658484525,1.3158821027419996,0.008750783174008674,4.73861207701701
12,2061,5.906896082845759,3.0,3.2998544395924307,1.3158943961290395,0.005688009063105563,5.169394993109478
13,2267,6.097481716042913,3.0,3.3003970004411114,1.3158995900505517,0.003697205891018739,5.600177909201898
14,2494,6.294561528143147,3.0,3.2995188452285484,1.3159017844762295,0.0024031838291621037,6.030960825294384
15,2743,6.49743488529006,3.0,3.299671892088954,1.3159027116199795,0.0015620694889553737,6.461743741386835
16,3017,6.706950535637576,3.0,3.300298309579052,1.315903103338017,0.0010153451678210645,6.892526657479219
17,3319,6.923660286391556,3.0,3.3000903886712867,1.315903268838853,0.0006599743590836612,7.323309573571719
18,3651,7.14722209396967,3.0,3.2999178307313066,1.3159033387629502,0.00042898333340435796,7.754092489664225
19,4016,7.377874011529487,3.0,3.3002988047808763,1.31590336830588,0.00027883916671286017,8.18487540575658
20,4418,7.616262498896761,3.0,3.3001358080579446,1.315903380787768,0.0001812454583633652,8.615658321849
21,4860,7.862224182626689,3.0,3.3,1.315903386061365,0.00011780954793616815,9.046441237941618
22,5346,8.116017686985721,3.0,3.3002244668911334,1.31590338828946,7.657620615851683e-05,9.477224154033975
23,5881,8.378193628684825,3.0,3.2999489882673014,1.3159033892308298,4.97745340030335e-05,9.908007070126477
24,6469,8.648598122241417,3.0,3.3000463750193227,1.315903389628559,3.235344710197723e-05,10.338789986218764
25,7116,8.927817688752885,3.0,3.300168634064081,1.3159033897965993,2.1029740616280087e-05,10.769572902311461
26,7828,9.21616565497634,3.0,3.300076647930506,1.3159033898675963,1.3669331400582236e-05,11.200355818403901
27,8611,9.513738202652007,3.0,3.299965160840785,1.3159033898975927,8.885065410379989e-06,11.631138734496183
28,9472,9.820808209537187,3.0,3.2999366554054053,1.3159033899102661,5.775292516746469e-06,12.061921650588728
29,10419,10.137760165696116,3.0,3.300028793550245,1.3159033899156205,3.753940135885372e-06,12.492704566681137
30,11461,10.465038671067688,3.0,3.2999738242736236,1.3159033899178831,2.440061088324985e-06,12.9234874827738
31,12607,10.802822764672767,3.0,3.3000713889109226,1.3159033899188388,1.586039707411972e-06,13.354270398865793
32,13868,11.151619543952194,3.0,3.3000432650706664,1.3159033899192427,1.0309258098172312e-06,13.78505331495878
33,15255,11.511645418214973,3.0,3.2999016715830876,1.315903389919413,6.701017763814205e-07,14.215836231050906
34,16780,11.8831246339285,3.0,3.3,1.3159033899194852,4.355661546477166e-07,14.646619147143836
35,18458,12.266713269094112,3.0,3.300032506230361,1.3159033899195156,2.8311800052105947e-07,15.077402063236136
36,20304,12.662725766940898,3.0,3.2999408983451537,1.3159033899195283,1.8402670033876438e-07,15.508184979328178
37,22334,13.071401981264579,3.0,3.2999462702605893,1.3159033899195336,1.196173552201515e-07,15.938967895421012
38,24567,13.49327511427263,3.0,3.3000366345097083,1.3159033899195365,7.775128089314978e-08,16.369750811512805
39,27024,13.928891135706587,3.0,3.299955595026643,1.3159033899195374,5.053833258049217e-08,16.800533727606354
40,29726,14.378452856762157,3.0,3.3000403687008006,1.3159033899195374,3.2849916177330655e-08,17.23131664369848
41,32699,14.8426514976554,3.0,3.3000091745924953,1.3159033899195376,2.1352445515269416e-08,17.66209955979072
42,35969,15.321788200759396,3.0,3.300008340515444,1.3159033899195378,1.3879089584918661e-08,18.09288247588364
43,39566,15.816390617789827,3.0,3.300030329070414,1.3159033899195378,9.02140823020236e-09,18.523665391975516
44,43523,16.326995551172836,3.0,3.2999793212784043,1.3159033899195378,5.863915349630382e-09,18.95444830806817
45,47875,16.853997648521187,3.0,3.3000313315926895,1.3159033899195376,3.811544977262344e-09,19.38523122415994
46,52663,17.398101699808276,3.0,3.2999829102026093,1.3159033899195376,2.4775042352158566e-09,19.81601414025428
47,57929,17.959683428529942,3.0,3.3000051787533016,1.3159033899195378,1.6103777528911049e-09,20.24679705634624
48,63722,18.5394337812489,3.0,3.299990584099683,1.3159033899195374,1.0467455393805223e-09,20.677579972437446
49,70094,19.13787064211995,3.0,3.2999828801323936,1.315903389919538,6.803846005969503e-10,21.108362888530472
50,77103,19.755609152947418,3.0,0.0,1.3159033899195378,4.4224999038836166e-10,21.539145804622148
